lab,number_of_women_with_test,number_of_pregnancies_with_test,total_2010,first_2010,first_preg,gw_n,preterm_percent,gw_5,gw_10,gw_25,gw_50,gw_75,gw_90,gw_95,c_section_n,c_section_percent
CHOLESTEROL_HDL,86049,112837,75303,37921,0.503578874679628,58500,0.130153846153846,37,37,38,39,40,41,41,20844,0.184726641084042
CHOLESTEROL_LDL,69859,86543,59832,30892,0.516312341222089,47434,0.126575873845765,37,37,38,39,40,41,41,15442,0.178431531146367
PHOSPHATASE_ALKALINE,113843,161200,104674,52922,0.505588780403921,82695,0.133708204849144,37,37,38,39,40,41,41,31194,0.193511166253102
AST_Aspartate_aminotransferase_GOT,129428,195219,130968,64807,0.494830798362959,104008,0.129134297361741,37,37,38,39,40,41,41,36625,0.187609812569473
ALT_Alanine_aminotransferase_GPT,128778,194476,130529,64351,0.493001555209953,103653,0.129586215546101,37,37,38,39,40,41,41,36227,0.186280055122483
GAMMA_GLUTAMYL_TRANSPEPTIDASE,75235,97542,65489,34927,0.533326207454687,51327,0.145595885206616,37,37,38,39,40,41,41,19903,0.204045436837465
LACTIC_DEHYDROGENASE_LDH__BLOOD,84185,108917,71809,38126,0.530936233619741,57365,0.140102850169964,37,37,38,39,40,41,41,22790,0.209241899795257
CK_CREAT.KINASE_CPK,27548,31306,18052,10046,0.556503434522491,13096,0.137675626145388,37,37,38,39,40,41,41,6251,0.199674183862518
AMYLASE_BLOOD,40634,47410,32306,17325,0.536278090757135,26485,0.151293184821597,37,37,38,39,40,41,41,10558,0.222695633832525
IRON,49075,57824,40637,22029,0.542092182001624,31554,0.123058883184382,37,37,38,39,40,41,41,10091,0.174512313226342
TRANSFERRIN,35942,41386,31329,16789,0.535893261834084,24641,0.121261312446735,37,37,38,39,40,41,41,7332,0.177161358913642
BILIRUBIN_TOTAL,112108,161134,106194,52517,0.494538297832269,84507,0.132249399458033,37,37,38,39,40,41,41,30992,0.192336812839004
BILIRUBIN_DIRECT,89089,122405,88644,44075,0.497213573394702,69879,0.134976173099214,37,37,38,39,40,41,41,23136,0.189011886769331
MAGNESIUM_BLOOD,24332,28169,22113,10814,0.489033600144711,18052,0.181309550188345,36,37,38,39,40,41,41,6795,0.24122262061131
HEMOGLOBIN_A1C_CALCULATED,16518,17741,14859,7886,0.530722121273302,12594,0.131014768937589,37,37,38,39,40,41,41,3680,0.20742911898991
Cl,60592,82658,53547,25305,0.472575494425458,42598,0.146086670735715,36,37,38,39,40,41,41,18747,0.226802003435844
VITAMIN_B12,29323,32983,23145,12905,0.557571829768849,17545,0.112567683100598,37,37,38,39,40,41,41,5435,0.164781857320438
VITAMIN_D3_25_0H_RIA,3624,3737,3552,1972,0.55518018018018,2808,0.111823361823362,37,37,38,39,40,41,41,602,0.161091784854161
FOLIC_ACID,27356,30878,20067,10099,0.503264065380974,15102,0.126605747583102,37,37,38,39,40,41,41,5524,0.178897596994624
